x,y,id,planta-numero,id_vell,source,target,DN,OD,WT,area,material,area m2,Flow velocity ms,volume flow rate m3s,volume flow rate m3h,mass flow rate kgh
1514,854,STE-1,E800,PM-V-1,caldera,E800,80,88.9,3.3,0.005319729526158304,acer,0.005319729526158304,4.6,0.024470755820328198,88.09472095318151,378.80730009868046
1104,556,STE-2,Secadores,PM-V-2,caldera,secadores,80,88.9,3.3,0.005319729526158304,acer,0.005319729526158304,7.5,0.03989797144618728,143.6326972062742,617.6205979869791
1154,514,STE-3,PEC,PM-V-3,caldera,PEC,125,141.0,3.3,0.014186929768786934,acer,0.014186929768786934,2.3,0.03262993846820995,117.46777848555581,505.11144748788996
1143,323,STE-4,Nautas,PM-V-4,secadores,Nautas,65,76.0,0.0,0.004536459791783661,acer,0.004536459791783661,-,?,?,?
843,908,STE-5,V800,PM-V-5,colector,V800,50,60.3,0.0,0.0028557784079478277,acer,0.0028557784079478277,13.54,0.038667239643613585,139.2020627170089,598.5688696831384
903,908,STE-6,V700,PM-V-6,colector,V700,50,48.0,3.6,0.001307405198717928,acer,0.001307405198717928,0.2,0.0002614810397435856,0.941331743076908,4.047726495230704
940,908,STE-7,P400,PM-V-7,colector,P400,100,114.0,0.0,0.010207034531513238,acer,0.010207034531513238,7.5,0.07655275898634929,275.58993235085745,1185.036709108687
589,509,STE-8,Atomizador 1a planta,PM-V-8,secadores,atomizador,50,60.3,2.7,0.0023671979184615426,acer,0.0023671979184615426,2,0.004734395836923085,17.043825012923108,73.28844755556936
745,514,STE-9,Atomizador 2a planta,PM-V-9,secadores,atomizador,40,48.3,2.5,0.0014725351625722418,acer,0.0014725351625722418,-,?,?,?
352,749,STE-10,S600,PM-V-10,secadores,S600,65,73.0,2.7,0.0035890811111671224,acer,0.0035890811111671224,0.1,0.00035890811111671225,1.2920692000201641,5.555897560086706
265,1333,STE-11,S6000,PM-V-11,secadores,S6000,65,76.4,3.1,0.0038704735651491607,acer,0.0038704735651491607,1.6,0.006192757704238657,22.293927735259164,95.8638892616144
